token,Chain,Amount_ETH,Buy_Tx_Hash,Gas_Used,Price_Impact,Safety_Score,Buzz_Score,ROI,estimated_return,Timestamp,win_rate
4NDWv1TxPQNUeuzsWS5Yt8qyeLLYo3r5gYaQTf7T2WjY,SOL,0.001,0xhash0sol,21000,0.5,80,70,120,3.2,2025-08-05 15:43:26.092884,100
4NDWv1TxPQNUeuzsWS5Yt8qyeLLYo3r5gYaQTf7T2WjY,BASE,0.001,0xhash0base,21000,0.5,80,70,120,3.2,2025-08-05 15:43:26.251029,100
4NDWv1TxPQNUeuzsWS5Yt8qyeLLYo3r5gYaQTf7T2WjY,ETH,0.001,0xhash0eth,21000,0.5,80,70,120,3.2,2025-08-05 15:43:26.251029,100
4NDWv1TxPQNUeuzsWS5Yt8qyeLLYo3r5gYaQTf7T2WjY,BNB,0.001,0xhash0bnb,21000,0.5,80,70,120,3.2,2025-08-05 15:43:26.251029,100
0x4200000000000000000000000000000000000023,SOL,0.0015,0xhash1sol,21100,0.7,75,73,130,4.2,2025-08-05 15:43:26.251029,100
0x4200000000000000000000000000000000000023,BASE,0.0015,0xhash1base,21100,0.7,75,73,130,4.2,2025-08-05 15:43:26.251029,100
0x4200000000000000000000000000000000000023,ETH,0.0015,0xhash1eth,21100,0.7,75,73,130,4.2,2025-08-05 15:43:26.251029,100
0x4200000000000000000000000000000000000023,BNB,0.0015,0xhash1bnb,21100,0.7,75,73,130,4.2,2025-08-05 15:43:26.251029,100
0x6982508145454Ce325dDbE47a25d4ec3d2311933,SOL,0.002,0xhash2sol,21200,0.9,70,76,140,5.2,2025-08-05 15:43:26.251029,100
0x6982508145454Ce325dDbE47a25d4ec3d2311933,BASE,0.002,0xhash2base,21200,0.9,70,76,140,5.2,2025-08-05 15:43:26.251029,100
0x6982508145454Ce325dDbE47a25d4ec3d2311933,ETH,0.002,0xhash2eth,21200,0.9,70,76,140,5.2,2025-08-05 15:43:26.251029,100
0x6982508145454Ce325dDbE47a25d4ec3d2311933,BNB,0.002,0xhash2bnb,21200,0.9,70,76,140,5.2,2025-08-05 15:43:26.251029,100
