name,chain,buzz_score,risk_score,estimated_return,token_price_usd
Pepe,Ethereum,0.85,0.3,1.45,0.0021
Zuna,BNB,0.55,0.5,1.1,0.0035ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
BNBPepe,BNB,78,0,0,0.0018
ZoomBNB,BNB,74,0,0,0.0014
BaseDOGE,Base,83,0,0,0.0031
ChadBase,Base,88,0,0,0.0029
SolMeme,Solana,69,0,0,0.0011
SolTroll,Solana,65,0,0,0.0009
ETHMeme,Ethereum,91,0,0,0.0045
TurboShiba,Ethereum,87,0,0,0.0023
